loss,acc
162.11804,0.0078125
78.92731,0.0
34.080883,0.0
21.927895,0.0
16.61877,0.00390625
12.26581,0.0
9.718269,0.01171875
8.2896385,0.00390625
7.5501018,0.0
7.09737,0.0078125
7.0964956,0.0
6.7961116,0.00390625
6.6616015,0.00390625
6.533555,0.0078125
6.540578,0.01171875
6.556799,0.01171875
6.5240927,0.01171875
6.4637995,0.00390625
6.423934,0.015625
6.3670225,0.0
6.3348165,0.0
6.209392,0.0078125
6.169317,0.00390625
6.3384886,0.0
6.17489,0.00390625
6.0141854,0.0234375
5.912052,0.01171875
6.0300484,0.00390625
6.0363812,0.0
5.8545737,0.0
5.8753223,0.0078125
5.909789,0.00390625
5.8204956,0.015625
5.7393737,0.015625
5.685973,0.0078125
5.7366657,0.01171875
5.746869,0.00390625
5.626253,0.00390625
5.7094374,0.0078125
5.714519,0.00390625
5.5488834,0.0078125
5.4983454,0.015625
5.5630155,0.0078125
5.4995556,0.0078125
5.440623,0.0078125
5.4741898,0.00390625
5.514213,0.01171875
5.43626,0.01953125
5.3928204,0.00390625
5.3253274,0.0
5.4018755,0.0078125
5.2691536,0.00390625
5.3701587,0.0078125
5.363553,0.015625
5.353493,0.0
5.2750845,0.0078125
5.3405094,0.0078125
5.3087926,0.01171875
5.397998,0.01171875
5.295039,0.01171875
5.4107018,0.00390625
5.3628945,0.01171875
5.3124256,0.0078125
5.287644,0.01171875
5.4191732,0.00390625
5.291072,0.0078125
5.2809973,0.01171875
5.260867,0.01171875
5.3103304,0.01171875
5.2982206,0.00390625
5.2734776,0.01171875
5.342802,0.0078125
5.28078,0.0078125
5.295848,0.0078125
5.1879663,0.015625
5.2485886,0.02734375
5.2695255,0.01953125
5.3648148,0.015625
5.2334347,0.015625
5.1626506,0.0078125
5.2948084,0.0078125
5.2978196,0.0078125
5.1858945,0.03125
5.2927537,0.00390625
5.200592,0.0234375
5.242058,0.0
5.2747664,0.0234375
5.21386,0.015625
5.215781,0.01171875
5.173389,0.01953125
5.2780123,0.0234375
5.2551384,0.01953125
5.1496553,0.0234375
5.238386,0.01171875
5.3540554,0.01953125
5.154958,0.01171875
5.0991774,0.0234375
5.2399817,0.01953125
5.127896,0.046875
5.1449833,0.03125
5.244555,0.02734375
5.2228312,0.03515625
5.223219,0.0234375
5.102285,0.0390625
5.217438,0.00390625
5.1704407,0.02734375
5.186509,0.0078125
5.263562,0.01953125
5.2792044,0.0234375
5.303961,0.03125
5.1729307,0.03515625
5.1130266,0.0234375
5.1521244,0.02734375
5.279841,0.00390625
5.1289177,0.01171875
5.332428,0.0390625
5.329173,0.015625
5.2466974,0.015625
5.299155,0.03515625
5.2201858,0.01171875
5.163995,0.0078125
5.3667088,0.03125
5.2177744,0.01171875
5.16389,0.01171875
5.270125,0.0078125
5.3808565,0.01171875
5.2789307,0.02734375
5.4180965,0.03515625
5.1942635,0.015625
5.292223,0.01171875
5.2204013,0.01171875
5.3134017,0.04296875
5.3216305,0.0234375
5.186891,0.02734375
5.1332498,0.01953125
5.191372,0.015625
5.216893,0.02734375
5.246868,0.03125
5.1851397,0.0390625
5.3232403,0.04296875
5.279744,0.015625
5.249809,0.03125
5.155861,0.0234375
5.1162615,0.0390625
5.320137,0.03515625
5.21338,0.01953125
5.285239,0.0078125
5.1532865,0.03125
5.130395,0.03125
5.1098585,0.02734375
5.1951857,0.01953125
5.2285414,0.0234375
5.0269537,0.0078125
5.1673546,0.0390625
5.1522026,0.02734375
5.134755,0.01953125
5.246681,0.02734375
5.236922,0.01171875
5.1543913,0.03515625
5.127595,0.01953125
5.12813,0.05078125
5.2379384,0.03125
5.120949,0.03125
5.085026,0.03515625
5.051178,0.03515625
5.1890574,0.01953125
5.1647024,0.015625
5.0497127,0.046875
5.1103973,0.01953125
5.214614,0.0234375
5.1339865,0.02734375
5.262625,0.03125
5.1201253,0.02734375
5.11847,0.02734375
5.19495,0.0234375
5.188943,0.01953125
5.1111603,0.03125
5.016781,0.03515625
5.122896,0.04296875
5.2674913,0.015625
5.0977864,0.03515625
4.974366,0.07421875
5.0988398,0.0078125
5.182276,0.0625
5.2169924,0.015625
5.14646,0.0234375
5.2043476,0.03515625
5.123911,0.03125
5.11342,0.0390625
5.126045,0.05859375
5.1515207,0.015625
5.0253797,0.02734375
5.1990976,0.0234375
5.076871,0.03125
5.21682,0.03515625
5.0134697,0.03125
5.197385,0.03125
5.1170855,0.01953125
5.1642265,0.01953125
5.223588,0.0234375
5.142351,0.0234375
5.156082,0.015625
5.1877565,0.01953125
5.123802,0.02734375
5.0635204,0.02734375
5.2529936,0.03125
5.1651344,0.03125
5.217467,0.01953125
5.2944107,0.01953125
5.1594763,0.0234375
5.1498594,0.01953125
4.986959,0.05078125
5.0631933,0.01953125
5.1824245,0.0234375
5.2951097,0.04296875
5.1838255,0.01171875
5.1507077,0.02734375
5.0846386,0.015625
5.182006,0.02734375
5.1205225,0.03515625
5.0679793,0.02734375
5.14106,0.02734375
4.9886427,0.02734375
5.07504,0.05078125
5.2321243,0.0234375
5.0257864,0.0390625
5.1158113,0.03125
4.934684,0.05859375
5.0283527,0.05859375
5.136814,0.0234375
5.027731,0.046875
5.145299,0.03515625
5.0636954,0.03125
5.0293856,0.0234375
5.169484,0.0390625
5.052906,0.05078125
5.3774796,0.01953125
5.0763564,0.0234375
5.182721,0.0390625
5.014416,0.05859375
5.182171,0.01953125
5.091878,0.046875
5.0449243,0.0234375
5.171014,0.046875
5.1884356,0.02734375
5.162439,0.0390625
4.953062,0.046875
5.065963,0.03515625
5.103324,0.02734375
4.983139,0.03125
5.025534,0.0546875
5.189868,0.0390625
5.069305,0.05078125
5.0794864,0.02734375
5.0560074,0.03125
4.997758,0.0703125
5.1660743,0.0390625
5.007663,0.0234375
5.0251136,0.03125
5.004673,0.046875
4.861141,0.0703125
5.027877,0.03125
5.0605016,0.02734375
5.023442,0.01171875
5.0243363,0.0390625
5.0675,0.015625
5.153426,0.03125
4.926492,0.05859375
5.2973747,0.01953125
5.078088,0.03125
5.059642,0.0390625
5.1954985,0.04296875
5.0744696,0.03515625
5.085972,0.0546875
5.084074,0.0390625
5.12768,0.03125
5.2793517,0.046875
5.084646,0.0234375
5.1129546,0.03515625
5.2785683,0.0234375
5.244162,0.03125
4.995923,0.0546875
5.2911663,0.0390625
5.071744,0.0703125
5.188231,0.04296875
4.9980373,0.03515625
5.116507,0.015625
5.07749,0.04296875
5.1119785,0.0234375
5.0659375,0.046875
4.8273344,0.06640625
5.063904,0.015625
5.106773,0.01953125
5.1329527,0.03125
4.9334087,0.0390625
5.133255,0.0546875
5.000429,0.0546875
4.9513464,0.0625
4.9553823,0.046875
5.054141,0.0234375
5.141308,0.03515625
5.0059595,0.0390625
5.2589955,0.02734375
5.143469,0.02734375
4.906171,0.06640625
5.037749,0.05078125
4.9665003,0.046875
4.999145,0.0234375
4.986294,0.046875
4.9408717,0.046875
5.1180344,0.0390625
4.89227,0.0234375
5.1586637,0.02734375
5.0860767,0.04296875
5.0303864,0.046875
5.1621113,0.04296875
5.1955495,0.046875
5.198568,0.03125
5.082199,0.04296875
5.2162466,0.04296875
5.2574053,0.02734375
5.033307,0.0390625
4.9231615,0.0390625
5.1136627,0.01953125
5.037857,0.015625
4.966628,0.0703125
4.8563156,0.08203125
5.0345154,0.03125
5.0148926,0.04296875
5.022545,0.046875
4.930251,0.0625
5.076386,0.03125
5.0246744,0.04296875
4.9434333,0.05078125
4.954517,0.06640625
5.126964,0.046875
4.843288,0.03515625
